Date,Open,High,Low,Close
10/29/2021,"2,793.41","2,806.72","2,783.62","2,794.11"
10/28/2021,"2,749.37","2,793.92","2,749.37","2,793.41"
10/27/2021,"2,792.74","2,793.76","2,749.25","2,749.37"
10/26/2021,"2,809.72","2,819.17","2,792.71","2,792.74"
10/25/2021,"2,796.84","2,820.54","2,793.77","2,809.72"
10/22/2021,"2,793.74","2,812.36","2,785.10","2,796.84"
10/21/2021,"2,784.20","2,794.50","2,775.09","2,793.74"
10/20/2021,"2,762.76","2,789.74","2,762.18","2,784.20"
10/19/2021,"2,755.51","2,771.11","2,754.47","2,762.76"
10/18/2021,"2,748.28","2,759.85","2,732.95","2,755.51"
10/15/2021,"2,746.40","2,777.18","2,746.40","2,748.28"
10/14/2021,"2,700.26","2,747.72","2,700.26","2,746.40"
10/13/2021,"2,691.67","2,705.57","2,672.68","2,700.26"
10/12/2021,"2,676.14","2,703.05","2,676.14","2,691.67"
10/11/2021,"2,690.22","2,711.91","2,675.95","2,676.14"
10/08/2021,"2,705.26","2,714.65","2,689.85","2,690.22"
10/07/2021,"2,667.26","2,723.18","2,667.26","2,705.26"
10/06/2021,"2,672.64","2,672.64","2,622.36","2,667.26"
10/05/2021,"2,667.23","2,695.69","2,664.04","2,672.64"
10/04/2021,"2,683.64","2,695.98","2,659.04","2,667.23"
10/01/2021,"2,640.54","2,699.82","2,632.80","2,683.64"
09/30/2021,"2,681.87","2,695.24","2,640.43","2,640.54"
09/29/2021,"2,681.90","2,695.90","2,676.02","2,681.87"
09/28/2021,"2,723.45","2,723.45","2,679.66","2,681.90"
09/27/2021,"2,699.38","2,737.63","2,699.38","2,723.45"
09/24/2021,"2,703.78","2,708.54","2,687.02","2,699.38"
09/23/2021,"2,665.56","2,717.79","2,665.56","2,703.78"
09/22/2021,"2,631.20","2,684.45","2,631.20","2,665.56"
09/21/2021,"2,635.52","2,655.71","2,617.43","2,631.20"
09/20/2021,"2,678.06","2,678.06","2,602.27","2,635.52"
09/17/2021,"2,697.30","2,701.75","2,670.47","2,678.06"
09/16/2021,"2,701.63","2,711.33","2,684.84","2,697.30"
09/15/2021,"2,673.25","2,703.24","2,670.08","2,701.63"
09/14/2021,"2,703.28","2,711.01","2,667.15","2,673.25"
09/13/2021,"2,686.53","2,710.53","2,685.70","2,703.28"
09/10/2021,"2,711.80","2,727.43","2,686.17","2,686.53"
09/09/2021,"2,718.56","2,735.74","2,711.03","2,711.80"
09/08/2021,"2,728.17","2,729.46","2,703.47","2,718.56"
09/07/2021,"2,760.55","2,760.55","2,727.88","2,728.17"
09/03/2021,"2,769.50","2,769.57","2,754.12","2,760.55"
09/02/2021,"2,760.22","2,780.43","2,760.22","2,773.83"
09/01/2021,"2,753.16","2,769.78","2,737.25","2,760.22"
08/31/2021,"2,760.49","2,763.28","2,745.63","2,753.16"
08/30/2021,"2,767.06","2,775.67","2,757.43","2,760.49"
08/27/2021,"2,716.69","2,772.80","2,716.69","2,767.06"
08/26/2021,"2,741.39","2,741.84","2,714.39","2,716.69"
08/25/2021,"2,726.16","2,754.36","2,725.63","2,741.39"
08/24/2021,"2,698.99","2,731.48","2,698.99","2,726.16"
08/23/2021,"2,675.67","2,703.48","2,675.67","2,698.99"
08/20/2021,"2,644.71","2,677.20","2,642.83","2,675.67"
08/19/2021,"2,667.07","2,667.07","2,630.50","2,644.71"
08/18/2021,"2,692.50","2,702.75","2,666.18","2,667.07"
08/17/2021,"2,724.79","2,724.79","2,665.68","2,692.50"
08/16/2021,"2,731.46","2,731.46","2,703.07","2,724.79"
08/13/2021,"2,737.48","2,739.39","2,727.56","2,731.46"
08/12/2021,"2,741.91","2,743.54","2,724.11","2,737.48"
08/11/2021,"2,719.31","2,742.14","2,710.96","2,741.91"
08/10/2021,"2,709.80","2,727.82","2,705.08","2,719.31"
08/09/2021,"2,717.36","2,719.65","2,697.84","2,709.80"
08/06/2021,"2,706.17","2,731.21","2,706.17","2,717.36"
08/05/2021,"2,681.31","2,709.69","2,681.31","2,706.17"
08/04/2021,"2,708.88","2,710.53","2,681.25","2,681.31"
08/03/2021,"2,692.01","2,709.24","2,670.69","2,708.88"
08/02/2021,"2,703.67","2,743.40","2,690.31","2,692.01"
07/30/2021,"2,706.43","2,726.14","2,693.84","2,703.67"
07/29/2021,"2,679.71","2,722.65","2,679.71","2,706.43"
07/28/2021,"2,660.58","2,694.01","2,645.47","2,679.71"
07/27/2021,"2,675.93","2,675.93","2,643.23","2,660.58"
07/26/2021,"2,672.74","2,690.32","2,669.01","2,675.93"
07/23/2021,"2,649.63","2,674.55","2,648.74","2,672.74"
07/22/2021,"2,674.30","2,674.30","2,637.82","2,649.63"
07/21/2021,"2,642.18","2,685.82","2,642.18","2,674.30"
07/20/2021,"2,571.03","2,656.27","2,571.03","2,642.18"
07/19/2021,"2,616.96","2,616.96","2,550.62","2,571.03"
07/16/2021,"2,648.54","2,662.81","2,614.88","2,616.96"
07/15/2021,"2,656.43","2,659.00","2,628.69","2,648.54"
07/14/2021,"2,671.76","2,698.32","2,652.53","2,656.43"
07/13/2021,"2,713.39","2,713.39","2,671.31","2,671.76"
07/12/2021,"2,706.42","2,716.37","2,688.91","2,713.39"
07/09/2021,"2,648.43","2,707.46","2,648.43","2,706.42"
07/08/2021,"2,682.81","2,682.81","2,618.78","2,648.43"
07/07/2021,"2,679.90","2,694.15","2,657.09","2,682.81"
07/06/2021,"2,709.57","2,709.57","2,657.94","2,679.90"
07/02/2021,"2,717.42","2,721.32","2,701.49","2,709.57"
07/01/2021,"2,696.12","2,725.45","2,696.12","2,717.04"
06/30/2021,"2,693.80","2,700.60","2,688.30","2,696.12"
06/29/2021,"2,699.85","2,715.88","2,690.19","2,693.80"
06/28/2021,"2,726.48","2,727.69","2,686.48","2,699.85"
06/25/2021,"2,702.04","2,729.57","2,702.04","2,726.48"
06/24/2021,"2,676.80","2,703.69","2,676.80","2,702.04"
06/23/2021,"2,674.31","2,689.35","2,674.31","2,676.80"
06/22/2021,"2,671.85","2,681.59","2,652.79","2,674.31"
06/21/2021,"2,611.94","2,673.89","2,611.94","2,671.85"
06/18/2021,"2,663.04","2,663.04","2,610.84","2,611.94"
06/17/2021,"2,706.22","2,706.22","2,641.69","2,663.04"
06/16/2021,"2,724.09","2,724.25","2,694.29","2,706.22"
06/15/2021,"2,726.42","2,731.52","2,704.94","2,724.09"
06/14/2021,"2,752.17","2,755.64","2,718.24","2,726.42"
06/11/2021,"2,730.72","2,752.17","2,730.72","2,752.17"
06/10/2021,"2,732.37","2,751.29","2,724.18","2,730.72"
06/09/2021,"2,750.32","2,753.09","2,732.16","2,732.37"
06/08/2021,"2,726.13","2,753.85","2,717.04","2,750.32"
06/07/2021,"2,728.67","2,735.28","2,720.80","2,726.13"
06/04/2021,"2,714.96","2,731.18","2,713.34","2,728.67"
06/03/2021,"2,728.35","2,728.35","2,694.99","2,714.96"
06/02/2021,"2,744.72","2,750.12","2,723.91","2,728.35"
06/01/2021,"2,727.44","2,747.36","2,727.44","2,744.72"
05/28/2021,"2,731.23","2,736.05","2,715.18","2,727.44"
05/27/2021,"2,708.71","2,732.97","2,708.71","2,725.91"
05/26/2021,"2,683.06","2,710.08","2,683.06","2,708.71"
05/25/2021,"2,702.28","2,721.92","2,680.90","2,683.06"
05/24/2021,"2,689.84","2,712.31","2,689.84","2,702.28"
05/21/2021,"2,683.53","2,712.92","2,682.20","2,689.84"
05/20/2021,"2,672.79","2,690.73","2,664.41","2,683.53"
05/19/2021,"2,690.46","2,690.46","2,632.81","2,672.79"
05/18/2021,"2,718.50","2,723.68","2,689.63","2,690.46"
05/17/2021,"2,721.89","2,721.89","2,692.42","2,718.50"
05/14/2021,"2,676.40","2,725.35","2,676.40","2,721.89"
05/13/2021,"2,628.90","2,688.84","2,628.90","2,676.40"
05/12/2021,"2,712.95","2,712.95","2,627.23","2,628.90"
05/11/2021,"2,737.18","2,737.18","2,683.98","2,712.95"
05/10/2021,"2,770.27","2,780.08","2,737.07","2,737.18"
05/07/2021,"2,739.43","2,771.44","2,727.16","2,770.27"
05/06/2021,"2,726.67","2,739.99","2,700.20","2,739.43"
05/05/2021,"2,730.97","2,741.22","2,709.41","2,726.67"
05/04/2021,"2,740.37","2,740.37","2,701.44","2,730.97"
05/03/2021,"2,725.15","2,757.95","2,725.15","2,740.37"
04/30/2021,"2,762.32","2,762.32","2,720.42","2,725.15"
04/29/2021,"2,761.61","2,778.84","2,743.00","2,762.32"
04/28/2021,"2,762.36","2,769.94","2,756.25","2,761.61"
04/27/2021,"2,758.21","2,769.25","2,750.51","2,762.36"
04/26/2021,"2,745.71","2,767.47","2,745.71","2,758.21"
04/23/2021,"2,700.37","2,755.47","2,700.37","2,745.71"
04/22/2021,"2,711.59","2,734.83","2,693.30","2,700.37"
04/21/2021,"2,666.77","2,713.23","2,657.85","2,711.59"
04/20/2021,"2,704.18","2,704.18","2,651.04","2,666.77"
04/19/2021,"2,721.08","2,722.31","2,691.02","2,704.18"
04/16/2021,"2,700.28","2,727.46","2,700.28","2,721.08"
04/15/2021,"2,680.59","2,700.54","2,678.58","2,700.28"
